months_as_customer,age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,auto_model,collision_type_missing,property_damage_missing,police_report_available_missing,authorities_contacted_missing,injury_share,property_share,target,days_since_bind,incident_month,incident_dow,incident_weekend,policy_bind_year,policy_bind_month,policy_bind_quarter,is_holiday,holiday_window_2d,hour_sin,hour_cos,hour_bin_4,vehicle_age,csl_per_person,csl_per_incident,street_type,vehicle_age_bucket,vehicle_tier,body_type
269,44,IL,2000,1081.08,0,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,1,YES,0,2,Missing,56400,Toyota,Highlander,0,0,1,0,0.2,0.2,0,2628,2,5,1,2007,12,4,1,1,-0.5000000000000001,-0.8660254037844386,Afternoon (12-17),1,100,300,Drive,new,mid,suv
265,40,IL,1000,1454.43,0,FEMALE,MD,protective-serv,yachting,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,3,NO,2,3,Missing,55120,Accura,MDX,0,0,1,0,0.125,0.0,0,3106,2,5,1,2006,8,3,0,0,-0.9659258262890683,-0.25881904510252063,Afternoon (12-17),13,250,500,Lane,old,mid,other
163,33,IN,500,1240.47,0,FEMALE,Associate,other-service,polo,husband,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,3,YES,1,1,Missing,77110,Honda,Civic,0,0,1,0,0.0,0.18181818181818182,0,9172,2,2,0,1990,1,1,0,1,0.258819045102521,-0.9659258262890682,Morning (6-11),1,100,300,St,new,mid,other
355,47,OH,2000,1273.7,4000000,MALE,College,other-service,kayaking,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,3,NO,2,1,NO,62800,Audi,A3,0,0,0,0,0.1,0.1,1,9064,1,5,1,1990,3,1,0,0,-0.9659258262890684,0.2588190451025203,Evening (18-23),12,500,1000,Ave,old,premium,sedan
175,34,IN,1000,1123.87,8000000,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,Vehicle Theft,Missing,Trivial Damage,Police,NY,1,Missing,2,0,YES,7290,Volkswagen,Passat,1,1,0,0,0.1111111111111111,0.1111111111111111,0,2607,2,3,0,2008,1,1,0,0,0.9659258262890683,0.25881904510252074,Night (0-5),20,500,1000,Ave,old,mid,other
192,35,IL,1000,1245.89,0,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,1,NO,0,0,Missing,76600,Mercedes,C300,0,0,1,0,0.2,0.1,0,6506,1,3,0,1997,3,1,1,1,-0.9659258262890684,0.2588190451025203,Evening (18-23),15,100,300,St,old,premium,sedan
430,59,OH,2000,1326.62,7000000,MALE,MD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,3,Missing,0,3,YES,81800,Nissan,Pathfinder,0,1,0,0,0.2,0.1,0,4011,1,5,1,2004,1,1,0,1,-0.9659258262890684,0.2588190451025203,Evening (18-23),17,250,500,Drive,old,mid,suv
91,27,IL,2000,1073.83,0,FEMALE,JD,farming-fishing,polo,husband,0,0,Vehicle Theft,Missing,Trivial Damage,Missing,NY,1,Missing,1,2,Missing,7260,BMW,M5,1,1,1,1,0.18181818181818182,0.09090909090909091,0,7455,1,5,1,1994,8,3,0,1,0.8660254037844386,0.5000000000000001,Night (0-5),7,100,300,Ave,mid,premium,other
217,39,IN,1000,1530.52,0,MALE,College,armed-forces,basketball,not-in-family,0,0,Vehicle Theft,Missing,Minor Damage,Missing,WV,1,Missing,2,1,YES,4300,Toyota,Corolla,1,1,0,1,0.1,0.1,0,4648,2,6,1,2002,6,2,0,0,0.8660254037844387,-0.4999999999999998,Morning (6-11),15,100,300,Drive,old,mid,sedan
223,40,IN,500,1201.41,0,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,3,YES,1,0,Missing,70510,Suburu,Forrestor,0,0,1,0,0.18181818181818182,0.18181818181818182,0,7579,1,1,0,1994,4,2,0,0,0.9659258262890683,-0.25881904510252085,Morning (6-11),16,100,300,Ridge,old,mid,other
195,39,OH,1000,1393.57,0,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,Parked Car,Missing,Minor Damage,Police,VA,1,NO,0,1,YES,2640,Ford,F150,1,0,0,0,0.18181818181818182,0.18181818181818182,0,194,2,4,0,2014,8,3,0,0,0.9659258262890683,0.25881904510252074,Night (0-5),6,250,500,St,mid,mid,pickup
22,26,OH,1000,1276.57,0,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,1,YES,1,2,NO,78900,Chevrolet,Silverado,0,0,0,0,0.2,0.1,0,2705,1,1,0,2007,8,3,0,0,0.7071067811865475,0.7071067811865476,Night (0-5),20,100,300,Drive,old,mid,pickup
439,56,IN,500,1082.49,0,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,3,Missing,2,3,Missing,56430,Honda,CRV,0,1,1,0,0.0,0.1111111111111111,0,2291,2,5,1,2008,11,4,0,0,1.2246467991473532e-16,-1.0,Afternoon (12-17),1,250,500,Hwy,new,mid,suv
94,32,IN,1000,1414.74,0,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,Parked Car,Missing,Minor Damage,Missing,VA,1,NO,1,3,NO,2400,Chevrolet,Silverado,1,0,0,1,0.125,0.125,0,7067,2,6,1,1995,10,4,0,0,-0.9659258262890684,0.2588190451025203,Evening (18-23),1,500,1000,Ave,new,mid,pickup
11,39,IL,2000,1470.06,0,MALE,PhD,other-service,yachting,husband,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,1,YES,0,1,NO,65790,Saab,93,0,0,0,0,0.1111111111111111,0.1111111111111111,0,7903,1,2,0,1993,5,2,0,0,-0.5000000000000004,0.8660254037844384,Evening (18-23),8,250,500,Hwy,old,low,other
151,36,OH,2000,870.63,0,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,3,NO,1,1,NO,62920,Ford,Escape,0,0,0,0,0.18181818181818182,0.09090909090909091,0,3601,1,1,0,2005,2,1,0,0,1.2246467991473532e-16,-1.0,Afternoon (12-17),15,250,500,St,old,mid,other
154,34,IN,500,795.23,0,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,3,YES,2,1,Missing,69480,Nissan,Maxima,0,0,1,0,0.2222222222222222,0.0,1,9096,1,5,1,1990,2,1,0,0,-0.7071067811865475,-0.7071067811865477,Afternoon (12-17),1,100,300,Drive,new,mid,other
245,44,IL,1000,1168.2,0,MALE,JD,handlers-cleaners,basketball,husband,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,3,NO,0,3,NO,44280,Honda,Accord,0,0,0,0,0.16666666666666666,0.08333333333333333,0,7804,2,2,0,1993,9,3,0,0,-0.2588190451025207,0.9659258262890683,Evening (18-23),18,500,1000,St,old,mid,other
119,32,IL,1000,993.51,0,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,1,NO,0,3,YES,56300,BMW,M5,0,0,0,0,0.1,0.2,0,216,1,0,0,2014,6,2,0,0,1.2246467991473532e-16,-1.0,Afternoon (12-17),4,500,1000,Drive,mid,premium,other
215,42,OH,500,1848.81,0,MALE,JD,transport-moving,video-games,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,3,YES,2,2,YES,68520,Suburu,Legacy,0,0,0,0,0.16666666666666666,0.08333333333333333,1,2292,2,4,0,2008,10,4,0,0,-0.8660254037844386,0.5000000000000001,Evening (18-23),12,500,1000,Ave,old,mid,other
295,42,OH,2000,1641.73,5000000,MALE,PhD,sales,chess,not-in-family,62400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,3,NO,0,0,NO,59130,Ford,Escape,0,0,0,0,0.1111111111111111,0.1111111111111111,1,2828,1,1,0,2007,4,2,0,1,-0.8660254037844384,-0.5000000000000004,Afternoon (12-17),9,250,500,Drive,old,mid,other
254,39,IN,500,1362.87,0,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,3,YES,2,2,NO,82320,Dodge,Neon,0,0,0,0,0.16666666666666666,0.08333333333333333,1,7741,2,6,1,1993,12,4,0,0,1.0,6.123233995736766e-17,Morning (6-11),20,100,300,Hwy,old,mid,other
107,31,IN,500,1239.22,7000000,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,1,YES,0,1,NO,89700,Audi,A5,0,0,0,0,0.15384615384615385,0.15384615384615385,1,1262,1,4,0,2011,8,3,0,1,1.2246467991473532e-16,-1.0,Afternoon (12-17),6,250,500,Ridge,mid,premium,sedan
478,64,OH,500,835.02,0,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,3,NO,1,1,NO,33930,BMW,X6,0,0,0,0,0.0,0.1111111111111111,0,8932,2,0,0,1990,8,3,0,1,-0.9659258262890683,-0.25881904510252063,Afternoon (12-17),17,250,500,Lane,old,premium,other
128,30,OH,1000,1061.33,0,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,1,NO,0,3,NO,68530,Audi,A5,0,0,0,0,0.18181818181818182,0.09090909090909091,0,7638,1,5,1,1994,2,1,0,0,0.8660254037844387,-0.4999999999999998,Morning (6-11),18,100,300,Ave,old,premium,sedan
338,49,IN,1000,1279.08,0,MALE,MD,other-service,kayaking,own-child,0,-51500,Parked Car,Missing,Minor Damage,Missing,NC,1,NO,0,1,Missing,4300,Ford,F150,1,0,1,1,0.2,0.2,0,7675,2,4,0,1994,2,1,0,0,-0.25881904510252035,-0.9659258262890684,Afternoon (12-17),11,500,1000,Ridge,old,mid,pickup
