,RandomForest,XGBoost,ExtraTrees,AdaBoost,LDA,LogReg
total_claim_amount,0.04245269977804224,0.0057882085,0.010099726487822223,0.03074797783240954,0.34812692435198134,2.980435117802455e-11
insured_education_level_Masters,0.0028319819224108386,0.003513398,0.004449602496182181,0.0,-0.4261813028418674,-1.3322213797012202e-12
insured_education_level_Associate,0.0025132018199179183,0.0037294608,0.005382320361974705,0.0,-0.40339465085579174,-2.5166442350870137e-12
age,0.02542026209712469,0.004316377,0.0075545874734463826,0.0,-0.3574637012716114,2.789572254955458e-12
insured_relationship_own-child,0.004414835080433351,0.0045215506,0.007008536299434417,0.0,-0.3772544748491971,-4.929780035213999e-12
auto_model_Maxima,0.0003873605002586284,0.0,0.0005398138053717885,0.0,0.3897919074701249,1.0149657056639825e-12
incident_state_NC,0.0034949405707634836,0.004192718,0.005258953313173066,0.0,0.3775694083498805,2.9279154687424313e-12
auto_model_A5,0.0006834438809603908,0.0,0.0011125326876654518,0.0,0.37779924781397556,1.3414039675321112e-12
hour_bin_4_Night (0-5),0.00373406831527062,0.0032072864,0.0054822065088602975,0.0,0.3512161410469597,-3.239161988458677e-12
property_share,0.01778779068850531,0.0047996375,0.008272742080163988,0.0,-0.3116615883213035,2.950675192195587e-12
collision_type_missing,0.007810377293268571,0.0077170166,0.011816348168786787,0.0,0.3100281129343303,-1.38044270831584e-11
incident_type_Parked Car,0.002488480341593253,0.0038058616,0.004142577927716165,0.0,0.31357071354438315,-6.830274019285846e-12
auto_model_MDX,0.0006986740983325718,0.0,0.0013584238400100972,0.0,-0.32148205664177343,-1.5818528476867973e-12
insured_relationship_not-in-family,0.0032914501790338164,0.007106758,0.004658432542113011,0.0,0.30846128485031976,-2.2366888030815635e-14
insured_occupation_other-service,0.0007946734347317878,0.0045938203,0.00163457585139643,0.0,-0.3076202418296722,-1.9736917855736863e-12
insured_education_level_JD,0.0032002010745675485,0.004513914,0.00510765961291054,0.0,0.29785665572514314,4.4463415543552454e-13
authorities_contacted_missing,0.004284464704585089,0.0059401155,0.006238891932377471,0.0,-0.29227164566694924,-8.656745819613255e-12
authorities_contacted_Missing,0.0036357838173277143,0.005685606,0.006064711491759475,0.0,-0.29227164566878516,-8.656745819613255e-12
auto_make_Audi,0.0017043843400923338,0.0049198717,0.0019698658815973527,0.0,0.29526000426592786,2.3796318758367727e-12
incident_state_SC,0.005418727830831615,0.0031931277,0.008984431960959523,0.0,0.2843464734607615,5.389010455655384e-12
hour_bin_4_Afternoon (12-17),0.004197838095048126,0.003718491,0.007833917488130844,0.0,-0.28420168838751736,-3.366532178077436e-13
auto_model_Jetta,0.0018600756035395162,0.0060413387,0.0025403329235698566,0.0,0.28345258331325673,6.242672752762199e-13
auto_make_BMW,0.0019004559865221297,0.006768094,0.0025623556280579725,0.0,0.281976214515907,1.1100360269751909e-12
auto_model_RAM,0.000899174024300259,0.008930201,0.0015522492758857662,0.0,-0.2772935996244381,-6.915504507366739e-13
authorities_contacted_Other,0.003954386907525705,0.004187342,0.0067248349221935315,0.0,0.27145134405587423,4.3269065539760405e-12
auto_model_93,0.00015150951422693905,0.0,0.0004841730808650934,0.0,0.2829183072588176,-6.707712892571164e-13
incident_state_VA,0.0027581545861783702,0.0047522397,0.004430155012465104,0.0,0.26922643445698796,-2.9958349234557083e-13
insured_occupation_sales,0.0023750820223794895,0.003634054,0.004345301667302995,0.0,0.2705007050010569,3.2914131455532663e-13
body_type_pickup,0.002667176494936217,0.0047243466,0.0034006950244660863,0.0,0.26625895063832455,2.668700763260785e-12
auto_model_Camry,0.0006102993051665406,0.006054521,0.001009479280100814,0.0,-0.2667297785959404,-6.903328733141612e-13
auto_model_Escape,0.0005923567222421443,0.0,0.0012845139887458724,0.0,-0.25899911171244383,-4.435026376961797e-13
incident_month,0.007144764549104335,0.0066736466,0.009625676847230381,0.013905926389649376,0.22095245446297496,-4.6935108109010275e-12
insured_occupation_adm-clerical,0.0026421030682796153,0.0041280193,0.004204657620744171,0.0,-0.2401380332444547,-2.7577510922254654e-12
incident_type_Vehicle Theft,0.004001918294123444,0.007360596,0.0045930729069861564,0.0,0.23172777663169247,-6.974153063873049e-12
incident_state_NY,0.004691253085955196,0.0054307464,0.0073319912457993405,0.015295168018491373,-0.21449013994067775,-5.491252905950595e-12
auto_make_Nissan,0.0014766505026028206,0.004666731,0.0019001521418404172,0.0,-0.2328725163220638,-1.7010997485288398e-12
insured_occupation_craft-repair,0.002233935700878587,0.005883681,0.003112237155853546,0.0,0.22848330754481397,9.383634674169706e-13
street_type_St,0.0037738227186929424,0.0037128765,0.005375100842286862,0.0,-0.22667365220919677,-2.4364165488790534e-12
insured_education_level_MD,0.0033726154845783083,0.0043947804,0.004845734685180971,0.0,0.22660805189254635,1.9951269423747274e-13
auto_model_A3,0.0006290019223415148,0.016998446,0.0014371796510630169,0.0,0.21027339302423637,1.0382279083047578e-12
police_report_available_YES,0.004153524413867827,0.0040966133,0.007309879961614036,0.0,-0.20959910356453018,-4.887622286642547e-12
vehicle_tier,0.008421581371982834,0.0048421803,0.007260542199383817,0.02133625197659108,0.18158429996290432,1.4467086493853792e-12
collision_type_Side Collision,0.004114480018348168,0.0044328626,0.006139158711991059,0.0,-0.20807601022299788,1.2696714236416157e-12
police_report_available_NO,0.004597853797338491,0.0040791766,0.006955361715838908,0.0,0.2063661750215525,5.091196380822369e-13
incident_dow,0.016631948016906133,0.0035907065,0.008050250852412205,0.0,0.1883748383337536,2.741680726115078e-12
street_type_Ave,0.002809203726116468,0.0040198523,0.004507324688230849,0.0,0.20309635521155586,1.6923541978753187e-13
authorities_contacted_Fire,0.002967383144601564,0.0050652,0.005962398879832233,0.0,-0.19545923533710796,2.7291518432171967e-12
insured_occupation_protective-serv,0.0015776899616078213,0.0082414765,0.002107331121885,0.0,-0.1973484105628932,-4.901751910756245e-13
policy_state_OH,0.00568975671763314,0.004075506,0.007625547073803633,0.0,0.18957927051031226,9.632847622610317e-13
auto_model_C300,0.00043408070401557104,0.0,0.0006218855317244699,0.0,0.1985310147018014,7.76986075000118e-13
incident_state_PA,0.0023331746582575556,0.009874606,0.0030400739302767995,0.0,0.1806058355994967,-1.736615450419895e-13
policy_state_IL,0.00462058733597424,0.0031951973,0.007222815548509607,0.0,-0.1804243146063907,-3.5667339572366857e-12
insured_relationship_husband,0.003764115940571402,0.005783369,0.005074448208361827,0.0,-0.17859745306884808,-3.365307754797763e-12
property_damage_NO,0.007331368208954006,0.004655741,0.009069249301162579,0.0,-0.16549491694292476,-1.0964504685615991e-11
street_type_Lane,0.003470180680714785,0.006084371,0.0061525856788448964,0.0,0.1704809857380975,2.3745452877652927e-12
auto_make_Volkswagen,0.003682085403408974,0.00891796,0.005182784022164617,0.0,0.1661650355960414,1.0725628488393564e-12
auto_model_95,0.000881243734083564,0.012234701,0.0015676777078330664,0.0,0.1690295184174695,-7.60322720844007e-13
authorities_contacted_Ambulance,0.004026072389159908,0.004590745,0.00815283101471521,0.0,0.16620994966791058,3.830912332627923e-12
auto_model_E400,0.000953207554166477,0.0,0.0012164294096503004,0.0,0.178045603241568,4.126204939100765e-13
insured_education_level_College,0.0020553858337837233,0.0020302543,0.003103264001681053,0.0,0.166273546888768,3.9733245401891116e-13
auto_model_M5,0.0003370598753812835,0.0,0.00038904464280188725,0.0,0.17260445407701897,2.788736473056868e-13
capital-loss,0.018670655989699927,0.004079218,0.007995491729683507,0.0,-0.1385762660230715,-1.4427517517794978e-12
insured_occupation_priv-house-serv,0.0029963069681968623,0.008828072,0.0047707012441932355,0.0,-0.14442976040943106,-2.6189207308005555e-12
witnesses,0.012421913239701196,0.004701352,0.009132018175031544,0.013991822126024405,0.11895573897026798,9.922480714651721e-12
incident_type_Single Vehicle Collision,0.004447879367549188,0.0041412516,0.007153881229790168,0.0,-0.14280532904363186,6.524481844497634e-12
body_type_suv,0.002098616335331255,0.007008227,0.003332890286545986,0.0,-0.13500346992449896,-9.12944502914361e-13
auto_make_Mercedes,0.002287383973916351,0.007974495,0.004342742422062841,0.0,0.13041633306484784,1.983970927883838e-12
auto_make_Dodge,0.0017324750408017216,0.0076165516,0.0030390879952277242,0.0,-0.13160897461227797,-1.864542738700429e-12
auto_model_Accord,2.5696091148991596e-05,0.0,0.00012854095147501766,0.0,-0.13422355687524146,-2.0648863069469625e-13
auto_model_X5,0.0007989732107290493,0.0070628263,0.0012861505886608772,0.0,0.11981986046443568,3.307535304084248e-13
insured_relationship_unmarried,0.0029097054888083855,0.0038779601,0.005029689337441471,0.0,0.11214884144034235,-4.0589377700604436e-13
insured_relationship_other-relative,0.003592735580446979,0.004167548,0.005323408253681097,0.0,0.10743125533377426,2.130317126257722e-12
policy_deductable,0.008684127993393532,0.0030835106,0.007527983080088832,0.0,0.10065385930671068,6.096573990089731e-13
street_type_Hwy,0.005595463091169649,0.006307696,0.009653601275453425,0.0,-0.0969881031513364,-4.803659670724836e-12
insured_education_level_PhD,0.0026069420083597752,0.0024710796,0.0042520199540003875,0.0,0.10496538405651018,6.11302382640686e-13
incident_weekend,0.004393295852848373,0.0033057346,0.00763853560267195,0.0,0.09709224318784984,4.010565014156408e-12
insured_sex_FEMALE,0.0039054799670650347,0.0037821734,0.007694783469605703,0.0,0.09593491669837831,-3.0926342021097604e-12
insured_sex_MALE,0.004553758801197861,0.0016057136,0.006962790342801444,0.0,-0.09593491670114175,-2.0406275833829635e-12
property_damage_missing,0.004948762474687859,0.0036851245,0.0067389313767875,0.0,0.09367184922095906,4.644138103873383e-12
property_damage_Missing,0.004758829690728576,0.002295844,0.006444527742220087,0.0,0.09367184922246576,4.644138103873383e-12
policy_annual_premium,0.02925510262067313,0.0045252736,0.006624355739418817,0.052553444498743745,0.010576242502423366,-1.4866480265942586e-12
body_type_sedan,0.003410285932120277,0.0035227318,0.0042911377377572784,0.0,-0.08846001191736019,-2.6391718434378754e-12
capital-gains,0.018860631580844462,0.0047052703,0.00744989959976988,0.0524119356090213,-0.014746141934332279,-4.333331798064341e-12
property_damage_YES,0.004413024810091792,0.002051259,0.006689616189035383,0.0,0.07782172353709907,1.187104796249747e-12
auto_make_Honda,0.0009847448353634775,0.008066256,0.0017251577000189776,0.0,0.07900721330161654,-1.428587575144525e-13
auto_make_Ford,0.0016008205789577712,0.0031058108,0.0021714369079001553,0.0,-0.08015157610364704,2.62045136691375e-13
bodily_injuries,0.010567373958147249,0.0038023598,0.010017373374003137,0.0,0.06204242515426216,4.250424547649884e-12
insured_occupation_armed-forces,0.002043164074373913,0.0062020184,0.0032007130383817895,0.0,0.06656602267097358,-1.3794327989576425e-14
hour_cos,0.020040826198221645,0.0042246287,0.007988161762167817,0.0,0.042541150429631094,-1.3430782869622042e-12
insured_education_level_High School,0.004971785547136887,0.0047691087,0.0061816326537432915,0.0,0.05523621822685275,-2.9371778570369997e-12
auto_make_Chevrolet,0.001622676496192509,0.007688407,0.0023633237538346935,0.0,0.058491772004500966,5.509210851281926e-13
incident_type_Multi-vehicle Collision,0.004047088615998322,0.0035740617,0.006349601979339824,0.0,-0.05195367803553893,2.146683453168221e-12
insured_relationship_wife,0.003684639877206095,0.004787949,0.0055970781339407345,0.0,0.04846272676770415,1.4597695432980717e-12
auto_model_Neon,0.0009314296369565922,0.004468987,0.0016988247055181487,0.0,0.05166303540622997,-1.1729922879637282e-12
authorities_contacted_Police,0.0053322908229665325,0.004232032,0.007146753013369006,0.0,-0.04204119734648821,-7.363486695700739e-12
insured_occupation_machine-op-inspct,0.002282070789765209,0.004943365,0.0038204034045283995,0.0,-0.04735001267942402,-1.487732575809253e-12
collision_type_Front Collision,0.0045912471857967605,0.0043579037,0.006837653038970021,0.0,-0.04251573581794237,2.5525650084906574e-12
auto_make_Toyota,0.000923325760536067,0.0024166517,0.0016106824121986409,0.0,0.05261087812330801,-1.3173717645905133e-12
street_type_Ridge,0.0030848037094822287,0.0034707808,0.004841184128026921,0.0,-0.04453631298457417,9.755463228755705e-13
holiday_window_2d,0.00445557971944451,0.0030587348,0.008180649271036068,0.0,-0.035821051558971945,5.453513620037122e-13
auto_make_Saab,0.0017857085422910862,0.0031013894,0.002598919901462333,0.0,-0.043384183178177216,-1.1063316041822277e-12
umbrella_limit,0.01070373141169139,0.005979792,0.007040500977149054,0.02591532562489401,9.471037674572552e-08,5.23119886361497e-08
insured_occupation_tech-support,0.002310162196247688,0.008190864,0.00358649618367448,0.0,0.03012601262152402,2.0988782450664458e-13
auto_make_Jeep,0.0012725384944483782,0.005796217,0.002288504016383491,0.0,-0.030142551691673233,-1.5334754865757742e-12
body_type_other,0.0036603518376158517,0.0020908548,0.006046531807814448,0.0,0.026720378676378463,-4.249846202401326e-12
insured_occupation_farming-fishing,0.000690444330872927,0.011421981,0.0011841083427912233,0.0,-0.02121515183889261,1.3170216202801762e-12
auto_model_Ultima,0.000533153954073966,0.0,0.000523009269452607,0.0,0.03122710127987921,-1.206033502901666e-12
policy_state_IN,0.004349323150062941,0.0033682266,0.00769099277754243,0.0,-0.015242215815139657,-2.5298125905171247e-12
collision_type_Rear Collision,0.0056853267078183,0.0049652914,0.0088192655542786,0.0,0.010604333772788821,4.848928865533652e-12
auto_make_Suburu,0.001514884365400185,0.004135162,0.002638688852517823,0.0,0.016183562098441087,-9.380994195065194e-13
auto_model_ML350,0.00036394765955108724,0.015062637,0.0005952934203692468,0.0,-0.004617398192789509,7.943643589737017e-13
police_report_available_missing,0.004333621987980088,0.0026849762,0.006939197442881458,0.0,-0.0064020287639220555,-7.547591369325136e-13
police_report_available_Missing,0.004605284791676947,0.0013783751,0.007271818378348799,0.0,-0.006402028767209511,-7.547591369325136e-13
insured_occupation_prof-specialty,0.0014920903146981785,0.0038634934,0.002891649930730056,0.0,0.008483464173011018,-1.9775633142926238e-12
auto_model_Passat,0.001243877798767069,0.010047468,0.0018308683559946604,0.0,-0.002435353328526615,4.4829557356306685e-13
street_type_Drive,0.0036361234040983904,0.004209996,0.005440912029437838,0.0,0.001124738244600798,-1.4125125963171535e-12
auto_model_Corolla,0.0002113861471485543,0.0,0.000251099110939115,0.0,-0.012215696295034304,-9.813770357660595e-13
